date,promotion,match_type,match_card,match_event
2022-05-01,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22365&amp;name=Shawn+Dean"">Shawn Dean</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>","<a href=""?id=1&amp;nr=342179"">AEW Dark TV Tapings</a> - Event @ Universal Studios in Orlando, Florida, USA"
2022-05-01,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=20399&amp;name=Ten"">Ten</a>) defeat <a href=""?id=2&amp;nr=16194&amp;name=Cezar+Bononi"">Cezar Bononi</a> &amp; <a href=""?id=2&amp;nr=17969&amp;name=Tiger+Ruas"">Tiger Ruas</a>","<a href=""?id=1&amp;nr=342179"">AEW Dark TV Tapings</a> - Event @ Universal Studios in Orlando, Florida, USA"
2022-05-01,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2915&amp;name=The+Factory++"">The Factory</a> (<a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solo"">Aaron Solo</a> &amp; <a href=""?id=2&amp;nr=18841&amp;name=Nick+Comoroto"">Nick Comoroto</a>) defeat <a href=""?id=2&amp;nr=21519&amp;name=DKC"">DKC</a> &amp; <a href=""?id=2&amp;nr=23592&amp;name=Kevin+Knight+"">Kevin Knight</a>","<a href=""?id=1&amp;nr=342179"">AEW Dark TV Tapings</a> - Event @ Universal Studios in Orlando, Florida, USA"
2022-05-01,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2808&amp;name=The+Gunn+Club+"">The Gunn Club</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>) defeat <a href=""?id=2&amp;nr=22544&amp;name=Warren+Johnson"">Warren Johnson</a> &amp; <a href=""?id=2&amp;nr=24134&amp;name=Zack+Mason"">Zack Mason</a>","<a href=""?id=1&amp;nr=342179"">AEW Dark TV Tapings</a> - Event @ Universal Studios in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=23597&amp;name=AQA"">AQA</a> defeats <a href=""?id=2&amp;nr=16774&amp;name=Session+Moth+Martina"">Session Moth Martina</a>","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=28&amp;nr=8158&amp;name=Bear+Country"">Bear Country</a> (<a href=""?id=2&amp;nr=19259&amp;name=Bear+Boulder"">Bear Boulder</a> &amp; <a href=""?id=2&amp;nr=20207&amp;name=Bear+Bronson"">Bear Bronson</a>) defeat <a href=""?id=29&amp;nr=2913&amp;name=The+Wingmen+++"">The Wingmen</a> (<a href=""?id=2&amp;nr=16194&amp;name=Cezar+Bononi"">Cezar Bononi</a> &amp; <a href=""?id=2&amp;nr=10239&amp;name=Ryan+Nemeth"">Ryan Nemeth</a>)","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=8526&amp;name=Diamante+++++"">Diamante</a> defeats <a href=""?id=2&amp;nr=2485&amp;name=Leva+Bates"">Leva Bates</a>","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19034&amp;name=Fuego+Del+Sol"">Fuego Del Sol</a> defeats <a href=""?id=2&amp;nr=8148&amp;name=Peter+Avalon"">Peter Avalon</a>","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=17786&amp;name=Kiera+Hogan"">Kiera Hogan</a> defeats <a href=""?id=2&amp;nr=24343&amp;name=Ashley+D'Amboise"">Ashley D'Amboise</a>","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22366&amp;name=Lee+Johnson"">Lee Johnson</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2022-03-05,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=6215&amp;name=Alex+Reynolds"">Alex Reynolds</a> &amp; <a href=""?id=2&amp;nr=6959&amp;name=John+Silver"">John Silver</a>) defeat <a href=""?id=29&amp;nr=2915&amp;name=The+Factory++"">The Factory</a> (<a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solo"">Aaron Solo</a> &amp; <a href=""?id=2&amp;nr=18841&amp;name=Nick+Comoroto"">Nick Comoroto</a>)","<a href=""?id=1&amp;nr=337775"">AEW Dark TV Taping</a> - Event @ Addition Financial Arena in Orlando, Florida, USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=22620&amp;name=Abadon++"">Abadon</a>, <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a> &amp; <a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> defeat <a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a>, <a href=""?id=2&amp;nr=18784&amp;name=Jamie+Hayter"">Jamie Hayter</a> &amp; <a href=""?id=2&amp;nr=14663&amp;name=Rebel++++"">Rebel</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=4823&amp;name=Brian+Cage"">Brian Cage</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=29&amp;nr=2776&amp;name=Team+Taz"">Team Taz</a> (<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> &amp; <a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a>)","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a> defeats <a href=""?id=2&amp;nr=10239&amp;name=Ryan+Nemeth"">Ryan Nemeth</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=892&amp;name=Frankie+Kazarian"">Frankie Kazarian</a> defeats <a href=""?id=2&amp;nr=8148&amp;name=Peter+Avalon"">Peter Avalon</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a> defeats <a href=""?id=2&amp;nr=17540&amp;name=Sonny+Kiss"">Sonny Kiss</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=29&amp;nr=2808&amp;name=The+Gunn+Club+"">The Gunn Club</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a>, <a href=""?id=2&amp;nr=1081&amp;name=Billy+Gunn"">Billy Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>) defeat <a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a>, <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a>)","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-25,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a> defeats <a href=""?id=2&amp;nr=171&amp;name=Luther"">Luther</a>","<a href=""?id=1&amp;nr=327245"">Jericho Cruise Triple Whammy - Tag 4</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=4823&amp;name=Brian+Cage"">Brian Cage</a> defeats <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a> defeats <a href=""?id=2&amp;nr=17540&amp;name=Sonny+Kiss"">Sonny Kiss</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> &amp; <a href=""?id=2&amp;nr=18784&amp;name=Jamie+Hayter"">Jamie Hayter</a> defeat <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a> &amp; <a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=892&amp;name=Frankie+Kazarian"">Frankie Kazarian</a> defeats <a href=""?id=2&amp;nr=8047&amp;name=Angelico"">Angelico</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=1065&amp;name=Matt+Sydal"">Matt Sydal</a> defeats <a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeats <a href=""?id=2&amp;nr=8148&amp;name=Peter+Avalon"">Peter Avalon</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> defeats <a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a>, <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a>) defeat <a href=""?id=29&amp;nr=2913&amp;name=The+Wingmen+++"">The Wingmen</a> (<a href=""?id=2&amp;nr=16194&amp;name=Cezar+Bononi"">Cezar Bononi</a>, <a href=""?id=2&amp;nr=18677&amp;name=JD+Drake"">JD Drake</a> &amp; <a href=""?id=2&amp;nr=10239&amp;name=Ryan+Nemeth"">Ryan Nemeth</a>)","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-23,Chris Jericho's Rock 'N' Wrestling Rager At Sea,"<a href=""?id=5&amp;nr=4661"">FTW Title</a>: ","<a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a> (c) defeats <a href=""?id=2&amp;nr=3828&amp;name=Chuck+Taylor"">Chuck Taylor</a>","<a href=""?id=1&amp;nr=328222"">Jericho Cruise Triple Whammy - Tag 3</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=22620&amp;name=Abadon++"">Abadon</a> defeats <a href=""?id=2&amp;nr=24343&amp;name=Ashley+D'Amboise"">Ashley D'Amboise</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=8047&amp;name=Angelico"">Angelico</a> &amp; <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a> defeat <a href=""?id=2&amp;nr=4823&amp;name=Brian+Cage"">Brian Cage</a> &amp; <a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=3828&amp;name=Chuck+Taylor"">Chuck Taylor</a>, <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> &amp; <a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a> defeat <a href=""?id=29&amp;nr=2913&amp;name=The+Wingmen+++"">The Wingmen</a> (<a href=""?id=2&amp;nr=16194&amp;name=Cezar+Bononi"">Cezar Bononi</a>, <a href=""?id=2&amp;nr=18677&amp;name=JD+Drake"">JD Drake</a> &amp; <a href=""?id=2&amp;nr=8148&amp;name=Peter+Avalon"">Peter Avalon</a>)","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a> defeats <a href=""?id=2&amp;nr=10239&amp;name=Ryan+Nemeth"">Ryan Nemeth</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=18784&amp;name=Jamie+Hayter"">Jamie Hayter</a> defeats <a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a>) defeat <a href=""?id=28&amp;nr=9591&amp;name=Chaos+Project"">Chaos Project</a> (<a href=""?id=2&amp;nr=171&amp;name=Luther"">Luther</a> &amp; <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>)","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=29&amp;nr=2808&amp;name=The+Gunn+Club+"">The Gunn Club</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a>, <a href=""?id=2&amp;nr=1081&amp;name=Billy+Gunn"">Billy Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>) defeat <a href=""?id=28&amp;nr=9961&amp;name=The+Sydal+Brothers"">The Sydal Brothers</a> (<a href=""?id=2&amp;nr=1065&amp;name=Matt+Sydal"">Matt Sydal</a> &amp; <a href=""?id=2&amp;nr=8265&amp;name=Mike+Sydal"">Mike Sydal</a>) &amp; <a href=""?id=2&amp;nr=892&amp;name=Frankie+Kazarian"">Frankie Kazarian</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-22,Chris Jericho's Rock 'N' Wrestling Rager At Sea,"<a href=""?id=5&amp;nr=4661"">FTW Title</a>: ","<a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a> (c) defeats <a href=""?id=2&amp;nr=17540&amp;name=Sonny+Kiss"">Sonny Kiss</a>","<a href=""?id=1&amp;nr=328221"">Jericho Cruise Triple Whammy - Tag 2</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=4823&amp;name=Brian+Cage"">Brian Cage</a> defeats <a href=""?id=2&amp;nr=8047&amp;name=Angelico"">Angelico</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a> defeats <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=3828&amp;name=Chuck+Taylor"">Chuck Taylor</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=29&amp;nr=2663&amp;name=Dark+Order"">Dark Order</a> (<a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a>)","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a> defeats <a href=""?id=2&amp;nr=18677&amp;name=JD+Drake"">JD Drake</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> defeats <a href=""?id=2&amp;nr=24343&amp;name=Ashley+D'Amboise"">Ashley D'Amboise</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=892&amp;name=Frankie+Kazarian"">Frankie Kazarian</a> defeats <a href=""?id=2&amp;nr=1081&amp;name=Billy+Gunn"">Billy Gunn</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=28&amp;nr=9961&amp;name=The+Sydal+Brothers"">The Sydal Brothers</a> (<a href=""?id=2&amp;nr=1065&amp;name=Matt+Sydal"">Matt Sydal</a> &amp; <a href=""?id=2&amp;nr=8265&amp;name=Mike+Sydal"">Mike Sydal</a>) defeat <a href=""?id=28&amp;nr=9591&amp;name=Chaos+Project"">Chaos Project</a> (<a href=""?id=2&amp;nr=171&amp;name=Luther"">Luther</a> &amp; <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a>)","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
2021-10-21,Chris Jericho's Rock 'N' Wrestling Rager At Sea,,"<a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a> defeats <a href=""?id=2&amp;nr=8148&amp;name=Peter+Avalon"">Peter Avalon</a>","<a href=""?id=1&amp;nr=328220"">Jericho Cruise Triple Whammy - Tag 1</a> - Event @ Norwegian Pearl Cruise Ship in USA"
